repoKey,repoType,foldersCount,filesCount,usedSpace,usedSpaceInBytes,itemsCount,packageType,projectKey,percentage
gatr-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,gatr,0%
prd1-docker-local,LOCAL,0,0,0 bytes,0,0,Docker,prd1,0%
rfm2-helm-prod,VIRTUAL,4,2,134 bytes,134,6,Helm,rfm2,0%
jfrog-billing-logs,LOCAL,73,560,114.14 MB,119681676,633,Generic,default,0%
gtia-aap-automation,LOCAL,0,37,13.40 GB,14383240292,37,Generic,gtia,0.09%
mflw-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,mflw,0%
rrim-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,rrim,0%
gtia-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,gtia,0%
ordr-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,ordr,0%
mcdp-docker-dev-local,LOCAL,385,2585,48.20 GB,51758053865,2970,Docker,mcdp,0.32%
brep-helm-local,LOCAL,0,56,11.56 MB,12120657,56,Helm,brep,0%
gtia-micetro-data-export,LOCAL,0,0,0 bytes,0,0,Generic,gtia,0%
mepp-test-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
gdap-maven-prod-local,LOCAL,0,0,0 bytes,0,0,Maven,gdap,0%
medo-test-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
core-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,core,0%
pos2-docker-external-images-local,LOCAL,18,63,467.09 MB,489782792,81,Docker,pos2,0%
maven-remote-cache,CACHE,0,0,0 bytes,0,0,Maven,default,0%
menu-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,menu,0%
rcc1-npm-ui-shared-prod-local,LOCAL,0,0,0 bytes,0,0,npm,rcc1,0%
menu-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,menu,0%
core-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,core,0%
dret-generic-package-local,LOCAL,6,17,808.77 KB,828178,23,Generic,dret,0%
rcc1-generic-lambda-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Generic,rcc1,0%
key-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
gtia-aap-automation-prod,LOCAL,0,3,1.10 GB,1184117668,3,Generic,gtia,0.01%
pos2-debian-poc,LOCAL,14,59,106.61 MB,111783455,73,Debian,pos2,0%
